latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
60.543304,3.2141266,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-01T06:00,6.2,73,19.8,164,84,1027.6,1027.6,3,1.42,302,0.12,175,1.5,353,NaN
2025-02-01T07:00,6.6,76,24.5,160,95,1027,1027,3,1.4,297,0.24,177,1.5,353,NaN
2025-02-01T08:00,6.8,76,29,160,85,1027.2,1027.2,3,1.38,292,0.38,178,1.5,353,NaN
2025-02-01T09:00,7.3,75,34,162,98,1026.9,1026.9,3,1.36,287,0.5,180,1.4,0,NaN
2025-02-01T10:00,7.6,74,38.3,168,99,1026.6,1026.6,3,1.44,276,0.66,181,1.3,0,NaN
2025-02-01T11:00,7.7,77,39,171,100,1026.4,1026.4,3,1.5,265,0.84,181,0.9,0,NaN
2025-02-01T12:00,7.6,73,41.1,183,96,1025.9,1025.9,3,1.58,254,1,182,0.7,0,NaN
2025-02-01T13:00,7.7,77,42.5,182,99,1025.5,1025.5,3,1.72,242,1.16,180,0.7,346,NaN
2025-02-01T14:00,7.5,71,43.2,178,95,1025,1025,3,1.88,230,1.34,177,0.7,346,NaN
2025-02-01T15:00,7.8,76,47.8,170,96,1024.9,1024.9,3,2.02,218,1.5,175,0.9,349,NaN
2025-02-01T16:00,7.8,75,48.3,170,100,1024.4,1024.4,3,2.24,214,1.7,175,1.1,342,NaN
2025-02-01T17:00,7.8,80,49.5,167,100,1024,1024,61,2.46,210,1.88,174,1.5,346,NaN
2025-02-01T18:00,8.2,72,49.9,175,96,1023.4,1023.4,3,2.68,206,2.08,174,1.7,347,NaN
2025-02-01T19:00,7.9,77,50,166,99,1022.7,1022.7,3,2.84,206,2.18,174,2,350,NaN
2025-02-01T20:00,7.9,80,49.4,168,100,1022.5,1022.5,3,2.98,205,2.28,173,2,355,NaN
2025-02-01T21:00,8,81,50.6,169,96,1021.3,1021.3,3,3.14,205,2.38,173,2,355,NaN
2025-02-01T22:00,8,86,52,169,97,1021,1021,61,3.28,205,2.46,172,1.8,0,NaN
2025-02-01T23:00,8.1,86,49.4,176,99,1020.1,1020.1,61,3.42,205,2.54,170,1.6,0,NaN
2025-02-02T00:00,7.9,87,50.5,176,100,1019.5,1019.5,61,3.56,205,2.62,169,1.4,0,NaN
